Disney army
InfantryUnit,MickeyMouse,100
InfantryUnit,MickeyMouse,100
InfantryUnit,MickeyMouse,100
InfantryUnit,MickeyMouse,100
InfantryUnit,MickeyMouse,100
InfantryUnit,MickeyMouse,100
InfantryUnit,MickeyMouse,100
InfantryUnit,MickeyMouse,100
InfantryUnit,MickeyMouse,100
InfantryUnit,MickeyMouse,100
CavalryUnit,DonaldDuck,100
CavalryUnit,DonaldDuck,100
CavalryUnit,DonaldDuck,100
CavalryUnit,DonaldDuck,100
CavalryUnit,DonaldDuck,100
RangedUnit,MinnieMouse,100
RangedUnit,MinnieMouse,100
CommanderUnit,Goofy,180
