Star Wars
InfantryUnit,Luke Skywalker,100
InfantryUnit,Luke Skywalker,100
InfantryUnit,Luke Skywalker,100
InfantryUnit,Luke Skywalker,100
InfantryUnit,Luke Skywalker,100
InfantryUnit,Luke Skywalker,100
InfantryUnit,Luke Skywalker,100
InfantryUnit,Luke Skywalker,100
InfantryUnit,Luke Skywalker,100
InfantryUnit,Luke Skywalker,100
CavalryUnit,Obi-Wan Kenobi,100
CavalryUnit,Obi-Wan Kenobi,100
CavalryUnit,Obi-Wan Kenobi,100
CavalryUnit,Obi-Wan Kenobi,100
CavalryUnit,Obi-Wan Kenobi,100
RangedUnit,Yoda,100
RangedUnit,Yoda,100
CommanderUnit,Darth Vader,180
